gev_20100119_0614,2010-01-19 06:14:00,2010-01-19 06:18:00,2010-01-19 06:36:00,B5.8,POINT(-87.0 -26.0),0
gev_20100119_0703,2010-01-19 07:03:00,2010-01-19 07:11:00,2010-01-19 07:17:00,B8.3,POINT(86.0 27.0),0
gev_20100119_0834,2010-01-19 08:34:00,2010-01-19 08:45:00,2010-01-19 09:14:00,C5.2,POINT(86.0 28.0),0
gev_20100119_1025,2010-01-19 10:25:00,2010-01-19 10:29:00,2010-01-19 10:36:00,C1.1,POINT(-87.0 -25.0),0
gev_20100119_1303,2010-01-19 13:03:00,2010-01-19 13:41:00,2010-01-19 13:50:00,M2.3,POINT(-88.0 -25.0),0
gev_20100119_1532,2010-01-19 15:32:00,2010-01-19 15:36:00,2010-01-19 15:43:00,C2.3,POINT(-88.0 -23.0),0
gev_20100119_1744,2010-01-19 17:44:00,2010-01-19 17:55:00,2010-01-19 18:21:00,C5.1,POINT(-87.0 -25.0),0
gev_20100119_2023,2010-01-19 20:23:00,2010-01-19 20:35:00,2010-01-19 20:46:00,M1.7,POINT(-88.0 -25.0),0
gev_20100119_2223,2010-01-19 22:23:00,2010-01-19 22:33:00,2010-01-19 22:40:00,C4.5,POINT(-88.0 -23.0),0
gev_20100119_2317,2010-01-19 23:17:00,2010-01-19 23:26:00,2010-01-19 23:38:00,C2.2,POINT(-88.0 -24.0),0
gev_20100120_0010,2010-01-20 00:10:00,2010-01-20 00:22:00,2010-01-20 00:30:00,C4.0,POINT(-88.0 -25.0),0
gev_20100120_0247,2010-01-20 02:47:00,2010-01-20 02:53:00,2010-01-20 03:02:00,C1.7,POINT(-87.0 -25.0),0
gev_20100120_0448,2010-01-20 04:48:00,2010-01-20 04:57:00,2010-01-20 05:03:00,C5.0,POINT(-88.0 -25.0),0
gev_20100120_0610,2010-01-20 06:10:00,2010-01-20 06:18:00,2010-01-20 06:28:00,C3.9,POINT(-88.0 -23.0),0
gev_20100120_0645,2010-01-20 06:45:00,2010-01-20 07:27:00,2010-01-20 07:34:00,M1.0,POINT(-88.0 -24.0),0
gev_20100120_0659,2010-01-20 06:59:00,2010-01-20 07:14:00,2010-01-20 07:22:00,C9.7,POINT(-88.0 -24.0),0
gev_20100120_0742,2010-01-20 07:42:00,2010-01-20 07:49:00,2010-01-20 07:53:00,M1.6,POINT(-88.0 -23.0),0
gev_20100120_0913,2010-01-20 09:13:00,2010-01-20 09:29:00,2010-01-20 09:41:00,C3.7,POINT(-88.0 -24.0),0
gev_20100120_1046,2010-01-20 10:46:00,2010-01-20 10:59:00,2010-01-20 11:10:00,M1.8,POINT(-87.0 -25.0),0
gev_20100120_1228,2010-01-20 12:28:00,2010-01-20 12:32:00,2010-01-20 12:36:00,C3.9,POINT(-88.0 -23.0),0
gev_20100120_1319,2010-01-20 13:19:00,2010-01-20 13:25:00,2010-01-20 13:44:00,C1.3,POINT(-88.0 -24.0),0
gev_20100120_1429,2010-01-20 14:29:00,2010-01-20 14:32:00,2010-01-20 14:32:00,B7.9,POINT(-88.0 -24.0),0
gev_20100120_1510,2010-01-20 15:10:00,2010-01-20 15:20:00,2010-01-20 15:28:00,C2.2,POINT(-88.0 -24.0),0
gev_20100120_1543,2010-01-20 15:43:00,2010-01-20 15:46:00,2010-01-20 15:48:00,B9.4,POINT(-82.0 -25.0),0
gev_20100120_1710,2010-01-20 17:10:00,2010-01-20 17:13:00,2010-01-20 17:18:00,B6.9,POINT(-88.0 -23.0),0
gev_20100120_1728,2010-01-20 17:28:00,2010-01-20 17:33:00,2010-01-20 17:35:00,C1.0,POINT(-84.0 -25.0),0
gev_20100120_1750,2010-01-20 17:50:00,2010-01-20 17:55:00,2010-01-20 18:00:00,M3.4,POINT(-88.0 -24.0),0
gev_20100120_2157,2010-01-20 21:57:00,2010-01-20 22:13:00,2010-01-20 22:53:00,B6.7,POINT(-71.0 61.0),0
gev_20100121_0021,2010-01-21 00:21:00,2010-01-21 00:26:00,2010-01-21 00:29:00,B7.9,POINT(-80.0 -24.0),0
gev_20100121_0349,2010-01-21 03:49:00,2010-01-21 03:54:00,2010-01-21 03:58:00,C2.3,POINT(-81.0 -25.0),0
gev_20100121_1042,2010-01-21 10:42:00,2010-01-21 10:49:00,2010-01-21 10:53:00,C1.2,POINT(-72.0 -25.0),0
gev_20100122_0257,2010-01-22 02:57:00,2010-01-22 03:01:00,2010-01-22 03:09:00,B1.7,POINT(-39.0 -9.0),0
gev_20100122_1048,2010-01-22 10:48:00,2010-01-22 10:53:00,2010-01-22 10:55:00,B5.6,POINT(-53.0 -23.0),0
gev_20100122_1105,2010-01-22 11:05:00,2010-01-22 11:09:00,2010-01-22 11:18:00,B3.0,POINT(-59.0 -24.0),0
gev_20100122_1548,2010-01-22 15:48:00,2010-01-22 15:55:00,2010-01-22 16:02:00,B3.0,POINT(-53.0 -25.0),0
gev_20100122_1637,2010-01-22 16:37:00,2010-01-22 16:40:00,2010-01-22 16:44:00,B2.1,POINT(-51.0 -25.0),0
gev_20100122_1707,2010-01-22 17:07:00,2010-01-22 17:11:00,2010-01-22 17:14:00,B9.6,POINT(-55.0 -24.0),0
gev_20100122_2018,2010-01-22 20:18:00,2010-01-22 20:22:00,2010-01-22 20:25:00,B1.3,POINT(-54.0 -24.0),0
gev_20100123_0011,2010-01-23 00:11:00,2010-01-23 00:21:00,2010-01-23 00:28:00,B2.3,POINT(-49.0 -25.0),0
gev_20100123_0538,2010-01-23 05:38:00,2010-01-23 05:44:00,2010-01-23 05:49:00,B2.4,POINT(32.0 20.0),0
gev_20100123_0632,2010-01-23 06:32:00,2010-01-23 06:36:00,2010-01-23 06:44:00,B1.9,POINT(31.0 23.0),0
gev_20100123_0742,2010-01-23 07:42:00,2010-01-23 07:48:00,2010-01-23 07:54:00,B4.4,POINT(-47.0 -25.0),0
gev_20100123_1322,2010-01-23 13:22:00,2010-01-23 13:31:00,2010-01-23 13:38:00,B2.2,POINT(-44.0 -25.0),0
gev_20100123_1608,2010-01-23 16:08:00,2010-01-23 16:12:00,2010-01-23 16:17:00,B3.8,POINT(-43.0 -26.0),0
gev_20100123_2101,2010-01-23 21:01:00,2010-01-23 21:06:00,2010-01-23 21:11:00,B2.5,POINT(-46.0 -27.0),0
gev_20100123_2147,2010-01-23 21:47:00,2010-01-23 21:52:00,2010-01-23 21:58:00,B2.5,POINT(41.0 20.0),0
gev_20100124_0052,2010-01-24 00:52:00,2010-01-24 01:04:00,2010-01-24 01:10:00,B2.1,POINT(43.0 20.0),0
gev_20100124_1231,2010-01-24 12:31:00,2010-01-24 12:36:00,2010-01-24 12:36:00,B3.0,POINT(-30.0 -27.0),0
gev_20100124_2037,2010-01-24 20:37:00,2010-01-24 20:51:00,2010-01-24 21:05:00,B2.0,POINT(-73.0 -22.0),0
gev_20100126_0048,2010-01-26 00:48:00,2010-01-26 00:54:00,2010-01-26 01:05:00,B2.9,POINT(-9.0 -22.0),0
gev_20100126_0245,2010-01-26 02:45:00,2010-01-26 02:52:00,2010-01-26 03:00:00,B1.5,POINT(87.0 23.0),0
gev_20100126_0303,2010-01-26 03:03:00,2010-01-26 03:06:00,2010-01-26 03:09:00,B1.4,POINT(-16.0 -26.0),0
gev_20100126_2118,2010-01-26 21:18:00,2010-01-26 21:26:00,2010-01-26 21:26:00,B4.4,POINT(81.0 21.0),0
gev_20100118_0301,2010-01-18 03:01:00,2010-01-18 03:30:00,2010-01-18 04:05:00,B7.5,POINT(-88.0 -24.0),0
gev_20100118_0532,2010-01-18 05:32:00,2010-01-18 05:54:00,2010-01-18 06:07:00,B8.4,POINT(-88.0 -25.0),0
gev_20100118_1954,2010-01-18 19:54:00,2010-01-18 20:39:00,2010-01-18 21:06:00,C4.9,POINT(-87.0 -29.0),0
gev_20100118_2222,2010-01-18 22:22:00,2010-01-18 22:25:00,2010-01-18 22:28:00,B6.8,POINT(-87.0 -30.0),0
gev_20100119_0614,2010-01-19 06:14:00,2010-01-19 06:18:00,2010-01-19 06:36:00,B5.8,POINT(-87.0 -26.0),0
gev_20100119_0703,2010-01-19 07:03:00,2010-01-19 07:11:00,2010-01-19 07:17:00,B8.3,POINT(86.0 27.0),1040
gev_20100119_0834,2010-01-19 08:34:00,2010-01-19 08:45:00,2010-01-19 09:14:00,C5.2,POINT(86.0 28.0),1040
gev_20100119_1025,2010-01-19 10:25:00,2010-01-19 10:29:00,2010-01-19 10:36:00,C1.1,POINT(-87.0 -25.0),0
gev_20100119_1303,2010-01-19 13:03:00,2010-01-19 13:41:00,2010-01-19 13:50:00,M2.3,POINT(-88.0 -25.0),0
gev_20100119_1532,2010-01-19 15:32:00,2010-01-19 15:36:00,2010-01-19 15:43:00,C2.3,POINT(-88.0 -23.0),0
gev_20100119_1744,2010-01-19 17:44:00,2010-01-19 17:51:00,2010-01-19 17:51:00,C5.1,POINT(-87.0 -25.0),1041
gev_20100119_2023,2010-01-19 20:23:00,2010-01-19 20:35:00,2010-01-19 20:46:00,M1.7,POINT(-88.0 -25.0),1041
gev_20100119_2223,2010-01-19 22:23:00,2010-01-19 22:33:00,2010-01-19 22:40:00,C4.5,POINT(-88.0 -23.0),1041
gev_20100119_2317,2010-01-19 23:17:00,2010-01-19 23:26:00,2010-01-19 23:38:00,C2.2,POINT(-88.0 -24.0),1041
gev_20100120_0010,2010-01-20 00:10:00,2010-01-20 00:22:00,2010-01-20 00:30:00,C4.0,POINT(-88.0 -25.0),1041
gev_20100120_0247,2010-01-20 02:47:00,2010-01-20 02:53:00,2010-01-20 03:02:00,C1.7,POINT(-87.0 -25.0),1041
gev_20100120_0448,2010-01-20 04:48:00,2010-01-20 04:57:00,2010-01-20 05:03:00,C5.0,POINT(-88.0 -25.0),1041
gev_20100120_0610,2010-01-20 06:10:00,2010-01-20 06:18:00,2010-01-20 06:28:00,C3.9,POINT(-88.0 -23.0),1041
gev_20100120_0645,2010-01-20 06:45:00,2010-01-20 07:27:00,2010-01-20 07:34:00,M1.0,POINT(-88.0 -24.0),1041
gev_20100120_0659,2010-01-20 06:59:00,2010-01-20 07:14:00,2010-01-20 07:22:00,C9.7,POINT(-88.0 -24.0),1041
gev_20100120_0742,2010-01-20 07:42:00,2010-01-20 07:49:00,2010-01-20 07:53:00,M1.6,POINT(-88.0 -23.0),1041
gev_20100120_0913,2010-01-20 09:13:00,2010-01-20 09:29:00,2010-01-20 09:41:00,C3.7,POINT(-88.0 -24.0),1041
gev_20100120_1046,2010-01-20 10:46:00,2010-01-20 10:59:00,2010-01-20 11:10:00,M1.8,POINT(-87.0 -25.0),0
gev_20100120_1228,2010-01-20 12:28:00,2010-01-20 12:32:00,2010-01-20 12:36:00,C3.9,POINT(-88.0 -23.0),1041
gev_20100120_1319,2010-01-20 13:19:00,2010-01-20 13:25:00,2010-01-20 13:44:00,C1.3,POINT(-88.0 -24.0),0
gev_20100120_1429,2010-01-20 14:29:00,2010-01-20 14:32:00,2010-01-20 14:32:00,B7.9,POINT(-88.0 -24.0),1041
gev_20100120_1510,2010-01-20 15:10:00,2010-01-20 15:20:00,2010-01-20 15:28:00,C2.2,POINT(-88.0 -24.0),1041
gev_20100120_1543,2010-01-20 15:43:00,2010-01-20 15:46:00,2010-01-20 15:48:00,B9.4,POINT(-82.0 -25.0),1041
gev_20100120_1710,2010-01-20 17:10:00,2010-01-20 17:13:00,2010-01-20 17:18:00,B6.9,POINT(-88.0 -23.0),1041
gev_20100120_1728,2010-01-20 17:28:00,2010-01-20 17:33:00,2010-01-20 17:35:00,C1.0,POINT(-84.0 -25.0),0
gev_20100120_1750,2010-01-20 17:50:00,2010-01-20 17:55:00,2010-01-20 18:00:00,M3.4,POINT(-88.0 -24.0),0
gev_20100120_2157,2010-01-20 21:57:00,2010-01-20 22:13:00,2010-01-20 22:53:00,B6.7,POINT(-71.0 61.0),0
gev_20100121_0021,2010-01-21 00:21:00,2010-01-21 00:26:00,2010-01-21 00:29:00,B7.9,POINT(-80.0 -24.0),1041
gev_20100121_0349,2010-01-21 03:49:00,2010-01-21 03:54:00,2010-01-21 03:58:00,C2.3,POINT(-81.0 -25.0),0
gev_20100121_1042,2010-01-21 10:42:00,2010-01-21 10:49:00,2010-01-21 10:53:00,C1.2,POINT(-72.0 -25.0),0
gev_20100122_0257,2010-01-22 02:57:00,2010-01-22 03:01:00,2010-01-22 03:09:00,B1.7,POINT(-39.0 -9.0),0
gev_20100122_1048,2010-01-22 10:48:00,2010-01-22 10:53:00,2010-01-22 10:55:00,B5.6,POINT(-53.0 -23.0),1041
gev_20100122_1105,2010-01-22 11:05:00,2010-01-22 11:09:00,2010-01-22 11:18:00,B3.0,POINT(-59.0 -24.0),1041
gev_20100122_1548,2010-01-22 15:48:00,2010-01-22 15:55:00,2010-01-22 16:02:00,B3.0,POINT(-53.0 -25.0),1041
gev_20100122_1637,2010-01-22 16:37:00,2010-01-22 16:40:00,2010-01-22 16:44:00,B2.1,POINT(-51.0 -25.0),1041
gev_20100122_1707,2010-01-22 17:07:00,2010-01-22 17:11:00,2010-01-22 17:14:00,B9.6,POINT(-55.0 -24.0),1041
gev_20100122_2018,2010-01-22 20:18:00,2010-01-22 20:22:00,2010-01-22 20:25:00,B1.3,POINT(-54.0 -24.0),0
gev_20100123_0011,2010-01-23 00:11:00,2010-01-23 00:21:00,2010-01-23 00:28:00,B2.3,POINT(-49.0 -25.0),1041
gev_20100123_0538,2010-01-23 05:38:00,2010-01-23 05:44:00,2010-01-23 05:49:00,B2.4,POINT(32.0 20.0),1042
gev_20100123_0632,2010-01-23 06:32:00,2010-01-23 06:36:00,2010-01-23 06:44:00,B1.9,POINT(31.0 23.0),1042
gev_20100123_0742,2010-01-23 07:42:00,2010-01-23 07:48:00,2010-01-23 07:54:00,B4.4,POINT(-47.0 -25.0),1041
gev_20100123_1322,2010-01-23 13:22:00,2010-01-23 13:31:00,2010-01-23 13:38:00,B2.2,POINT(-44.0 -25.0),1041
gev_20100123_1608,2010-01-23 16:08:00,2010-01-23 16:12:00,2010-01-23 16:17:00,B3.8,POINT(-43.0 -26.0),0
gev_20100123_2101,2010-01-23 21:01:00,2010-01-23 21:06:00,2010-01-23 21:11:00,B2.5,POINT(-46.0 -27.0),0
gev_20100123_2147,2010-01-23 21:47:00,2010-01-23 21:52:00,2010-01-23 21:58:00,B2.5,POINT(41.0 20.0),1042
gev_20100124_0052,2010-01-24 00:52:00,2010-01-24 01:04:00,2010-01-24 01:10:00,B2.1,POINT(43.0 20.0),1042
gev_20100124_1231,2010-01-24 12:31:00,2010-01-24 12:36:00,2010-01-24 12:36:00,B3.0,POINT(-30.0 -27.0),1041
gev_20100124_2037,2010-01-24 20:37:00,2010-01-24 20:51:00,2010-01-24 21:05:00,B2.0,POINT(-73.0 -22.0),0
gev_20100117_1938,2010-01-17 19:38:00,2010-01-17 19:43:00,2010-01-17 19:50:00,B4.2,POINT(60.0 20.0),0
gev_20100117_2212,2010-01-17 22:12:00,2010-01-17 22:33:00,2010-01-17 22:41:00,C2.1,POINT(76.0 29.0),1040
gev_20100118_0301,2010-01-18 03:01:00,2010-01-18 03:30:00,2010-01-18 04:05:00,B7.5,POINT(-88.0 -24.0),0
gev_20100118_0532,2010-01-18 05:32:00,2010-01-18 05:54:00,2010-01-18 06:07:00,B8.4,POINT(-88.0 -25.0),0
gev_20100118_1954,2010-01-18 19:54:00,2010-01-18 20:39:00,2010-01-18 21:06:00,C4.9,POINT(-87.0 -29.0),0
gev_20100118_2222,2010-01-18 22:22:00,2010-01-18 22:25:00,2010-01-18 22:28:00,B6.8,POINT(-87.0 -30.0),0
gev_20100119_0614,2010-01-19 06:14:00,2010-01-19 06:18:00,2010-01-19 06:36:00,B5.8,POINT(-87.0 -26.0),0
gev_20100119_0703,2010-01-19 07:03:00,2010-01-19 07:11:00,2010-01-19 07:17:00,B8.3,POINT(86.0 27.0),0
gev_20100119_0834,2010-01-19 08:34:00,2010-01-19 08:45:00,2010-01-19 09:14:00,C5.2,POINT(86.0 28.0),0
gev_20100119_1025,2010-01-19 10:25:00,2010-01-19 10:29:00,2010-01-19 10:36:00,C1.1,POINT(-87.0 -25.0),0
gev_20100119_1303,2010-01-19 13:03:00,2010-01-19 13:41:00,2010-01-19 13:50:00,M2.3,POINT(-88.0 -25.0),0
gev_20100119_1532,2010-01-19 15:32:00,2010-01-19 15:36:00,2010-01-19 15:43:00,C2.3,POINT(-88.0 -23.0),1041
gev_20100119_1744,2010-01-19 17:44:00,2010-01-19 17:51:00,2010-01-19 17:51:00,C5.1,POINT(-87.0 -25.0),1041
gev_20100119_2023,2010-01-19 20:23:00,2010-01-19 20:35:00,2010-01-19 20:46:00,M1.7,POINT(-88.0 -25.0),1041
gev_20100119_2223,2010-01-19 22:23:00,2010-01-19 22:33:00,2010-01-19 22:40:00,C4.5,POINT(-88.0 -23.0),1041
gev_20100119_2317,2010-01-19 23:17:00,2010-01-19 23:26:00,2010-01-19 23:38:00,C2.2,POINT(-88.0 -24.0),1041
gev_20100120_0010,2010-01-20 00:10:00,2010-01-20 00:22:00,2010-01-20 00:30:00,C4.0,POINT(-88.0 -25.0),1041
gev_20100120_0247,2010-01-20 02:47:00,2010-01-20 02:53:00,2010-01-20 03:02:00,C1.7,POINT(-87.0 -25.0),1041
gev_20100120_0448,2010-01-20 04:48:00,2010-01-20 04:57:00,2010-01-20 05:03:00,C5.0,POINT(-88.0 -25.0),1041
gev_20100120_0610,2010-01-20 06:10:00,2010-01-20 06:18:00,2010-01-20 06:28:00,C3.9,POINT(-88.0 -23.0),1041
gev_20100120_0645,2010-01-20 06:45:00,2010-01-20 07:27:00,2010-01-20 07:34:00,M1.0,POINT(-88.0 -24.0),1041
gev_20100120_0659,2010-01-20 06:59:00,2010-01-20 07:14:00,2010-01-20 07:22:00,C9.7,POINT(-88.0 -24.0),1041
gev_20100120_0742,2010-01-20 07:42:00,2010-01-20 07:49:00,2010-01-20 07:53:00,M1.6,POINT(-88.0 -23.0),1041
gev_20100120_0913,2010-01-20 09:13:00,2010-01-20 09:29:00,2010-01-20 09:41:00,C3.7,POINT(-88.0 -24.0),1041
gev_20100120_1046,2010-01-20 10:46:00,2010-01-20 10:59:00,2010-01-20 11:10:00,M1.8,POINT(-87.0 -25.0),1041
gev_20100120_1228,2010-01-20 12:28:00,2010-01-20 12:32:00,2010-01-20 12:36:00,C3.9,POINT(-88.0 -23.0),1041
gev_20100120_1319,2010-01-20 13:19:00,2010-01-20 13:25:00,2010-01-20 13:44:00,C1.3,POINT(-88.0 -24.0),0
gev_20100120_1429,2010-01-20 14:29:00,2010-01-20 14:32:00,2010-01-20 14:32:00,B7.9,POINT(-88.0 -24.0),1041
gev_20100120_1510,2010-01-20 15:10:00,2010-01-20 15:20:00,2010-01-20 15:28:00,C2.2,POINT(-88.0 -24.0),1041
gev_20100120_1543,2010-01-20 15:43:00,2010-01-20 15:46:00,2010-01-20 15:48:00,B9.4,POINT(-82.0 -25.0),1041
gev_20100120_1710,2010-01-20 17:10:00,2010-01-20 17:13:00,2010-01-20 17:18:00,B6.9,POINT(-88.0 -23.0),1041
gev_20100120_1728,2010-01-20 17:28:00,2010-01-20 17:33:00,2010-01-20 17:35:00,C1.0,POINT(-84.0 -25.0),0
gev_20100120_1750,2010-01-20 17:50:00,2010-01-20 17:55:00,2010-01-20 18:00:00,M3.4,POINT(-88.0 -24.0),1041
gev_20100120_2157,2010-01-20 21:57:00,2010-01-20 22:13:00,2010-01-20 22:53:00,B6.7,POINT(-71.0 61.0),0
gev_20100121_0021,2010-01-21 00:21:00,2010-01-21 00:26:00,2010-01-21 00:29:00,B7.9,POINT(-80.0 -24.0),1041
gev_20100121_0349,2010-01-21 03:49:00,2010-01-21 03:54:00,2010-01-21 03:58:00,C2.3,POINT(-81.0 -25.0),1041
gev_20100121_1042,2010-01-21 10:42:00,2010-01-21 10:49:00,2010-01-21 10:53:00,C1.2,POINT(-72.0 -25.0),0
gev_20100122_0257,2010-01-22 02:57:00,2010-01-22 03:01:00,2010-01-22 03:09:00,B1.7,POINT(-39.0 -9.0),0
gev_20100122_1048,2010-01-22 10:48:00,2010-01-22 10:53:00,2010-01-22 10:55:00,B5.6,POINT(-53.0 -23.0),1041
gev_20100122_1105,2010-01-22 11:05:00,2010-01-22 11:09:00,2010-01-22 11:18:00,B3.0,POINT(-59.0 -24.0),1041
gev_20100122_1548,2010-01-22 15:48:00,2010-01-22 15:55:00,2010-01-22 16:02:00,B3.0,POINT(-53.0 -25.0),1041
gev_20100122_1637,2010-01-22 16:37:00,2010-01-22 16:40:00,2010-01-22 16:44:00,B2.1,POINT(-51.0 -25.0),1041
gev_20100122_1707,2010-01-22 17:07:00,2010-01-22 17:11:00,2010-01-22 17:14:00,B9.6,POINT(-55.0 -24.0),1041
gev_20100122_2018,2010-01-22 20:18:00,2010-01-22 20:22:00,2010-01-22 20:25:00,B1.3,POINT(-54.0 -24.0),1041
gev_20100123_0011,2010-01-23 00:11:00,2010-01-23 00:21:00,2010-01-23 00:28:00,B2.3,POINT(-49.0 -25.0),1041
gev_20100123_0538,2010-01-23 05:38:00,2010-01-23 05:44:00,2010-01-23 05:49:00,B2.4,POINT(32.0 20.0),1042
gev_20100123_0632,2010-01-23 06:32:00,2010-01-23 06:36:00,2010-01-23 06:44:00,B1.9,POINT(31.0 23.0),1042
gev_20100123_0742,2010-01-23 07:42:00,2010-01-23 07:48:00,2010-01-23 07:54:00,B4.4,POINT(-47.0 -25.0),1041
gev_20100123_1322,2010-01-23 13:22:00,2010-01-23 13:31:00,2010-01-23 13:38:00,B2.2,POINT(-44.0 -25.0),1041
gev_20100123_1608,2010-01-23 16:08:00,2010-01-23 16:12:00,2010-01-23 16:17:00,B3.8,POINT(-43.0 -26.0),0
gev_20100123_2101,2010-01-23 21:01:00,2010-01-23 21:06:00,2010-01-23 21:11:00,B2.5,POINT(-46.0 -27.0),0
gev_20100123_2147,2010-01-23 21:47:00,2010-01-23 21:52:00,2010-01-23 21:58:00,B2.5,POINT(41.0 20.0),1042
gev_20100124_0052,2010-01-24 00:52:00,2010-01-24 01:04:00,2010-01-24 01:10:00,B2.1,POINT(43.0 20.0),1042
gev_20100115_0722,2010-01-15 07:22:00,2010-01-15 08:41:00,2010-01-15 10:22:00,C1.3,POINT(31.0 31.0),0
gev_20100116_1228,2010-01-16 12:28:00,2010-01-16 12:40:00,2010-01-16 13:00:00,B3.9,POINT(50.0 30.0),0
gev_20100116_1716,2010-01-16 17:16:00,2010-01-16 17:23:00,2010-01-16 17:26:00,B1.9,POINT(49.0 28.0),0
gev_20100116_1827,2010-01-16 18:27:00,2010-01-16 18:30:00,2010-01-16 18:32:00,B3.5,POINT(57.0 25.0),1040
gev_20100116_2052,2010-01-16 20:52:00,2010-01-16 20:57:00,2010-01-16 21:00:00,B1.5,POINT(49.0 28.0),0
gev_20100117_1938,2010-01-17 19:38:00,2010-01-17 19:43:00,2010-01-17 19:50:00,B4.2,POINT(60.0 20.0),1040
gev_20100117_2212,2010-01-17 22:12:00,2010-01-17 22:33:00,2010-01-17 22:41:00,C2.1,POINT(76.0 29.0),1040
